"","status","country","project_name","unit_name","capacity_(mw)","technology","start_year","operator","owner","lat","lng","location_accuracy","major_area_(prefecture,_district)","state/province","subregion","region","gem_location_id","gem_unit_id","other_ids_(location)","other_ids_(unit/phase)","url"
"278","operating","United States","Mammoth G1 geothermal power plant","GEN1","5.0","binary cycle","1984.0","","Ormat Technology INC [100%]","37.6451","-118.9143","exact","","California","Northern America","Americas","L100000700277","G100000700507","EIA: 10480","","https://gem.wiki/Mammoth_G1_geothermal_power_plant"
"279","operating","United States","Mammoth G1 geothermal power plant","GEN2","5.0","binary cycle","1984.0","","Ormat Technology INC [100%]","37.6451","-118.9143","exact","","California","Northern America","Americas","L100000700277","G100000700508","EIA: 10480","","https://gem.wiki/Mammoth_G1_geothermal_power_plant"
"280","operating","United States","Mammoth G2 geothermal power plant","1","5.0","binary cycle","1990.0","","Ormat Technology INC [100%]","37.6464","-118.9092","exact","","California","Northern America","Americas","L100000700278","G100000700509","EIA: 10481","","https://gem.wiki/Mammoth_G2_geothermal_power_plant"
"281","operating","United States","Mammoth G2 geothermal power plant","2","5.0","binary cycle","1990.0","","Ormat Technology INC [100%]","37.6464","-118.9092","exact","","California","Northern America","Americas","L100000700278","G100000700510","EIA: 10481","","https://gem.wiki/Mammoth_G2_geothermal_power_plant"
"282","operating","United States","Mammoth G2 geothermal power plant","3","5.0","binary cycle","1990.0","","Ormat Technology INC [100%]","37.6464","-118.9092","exact","","California","Northern America","Americas","L100000700278","G100000700511","EIA: 10481","","https://gem.wiki/Mammoth_G2_geothermal_power_plant"
"283","operating","United States","Mammoth G3 geothermal power plant","T101","5.0","binary cycle","1990.0","","Ormat Technology INC [100%]","37.6455","-118.9096","exact","","California","Northern America","Americas","L100000700279","G100000700512","EIA: 10479","","https://gem.wiki/Mammoth_G3_geothermal_power_plant"
"284","operating","United States","Mammoth G3 geothermal power plant","T102","5.0","binary cycle","1990.0","","Ormat Technology INC [100%]","37.6455","-118.9096","exact","","California","Northern America","Americas","L100000700279","G100000700513","EIA: 10479","","https://gem.wiki/Mammoth_G3_geothermal_power_plant"
"285","operating","United States","Mammoth G3 geothermal power plant","T103","5.0","binary cycle","1990.0","","Ormat Technology INC [100%]","37.6455","-118.9096","exact","","California","Northern America","Americas","L100000700279","G100000700514","EIA: 10479","","https://gem.wiki/Mammoth_G3_geothermal_power_plant"
"286","pre-construction","Chile","Mariposa geothermal power plant","1","50.0","unknown type","","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","-35.5404","-71.4849","approximate","Talca","Maule","Latin America and the Caribbean","Americas","L100000700096","G100000700163","WEPP (S&P Global Platts): 1063050","WEPP (S&P Global Platts): 1193233","https://gem.wiki/Mariposa_geothermal_power_plant"
"287","pre-construction","Chile","Mariposa geothermal power plant","2","50.0","unknown type","","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","-35.5404","-71.4849","approximate","Talca","Maule","Latin America and the Caribbean","Americas","L100000700096","G100000700164","WEPP (S&P Global Platts): 1063050","WEPP (S&P Global Platts): 1193233","https://gem.wiki/Mariposa_geothermal_power_plant"
"288","operating","Türkiye","Maspo Ala-2 geothermal power plant","--","30.0","binary cycle","2019.0","","Maspo Energy AS [100%]","38.4222","28.3892","exact","","","Western Asia","Asia","L100000700097","G100000700165","WEPP (S&P Global Platts): 1129923","WEPP (S&P Global Platts): 1300892","https://gem.wiki/Maspo_Ala-2_geothermal_power_plant"
"289","operating","Indonesia","Mataloko geothermal power plant","--","2.0","unknown type","","PT PLN (Persero)","","-8.8332","121.0611","exact","","East Nusa Tenggara","South-eastern Asia","Asia","L100000700206","G100000700358","","","https://gem.wiki/Mataloko_geothermal_power_plant"
"290","operating","United States","McCabe geothermal plant","2023-05-06 00:00:00","110.0","dry steam","1971.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700098","G100000700166","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7516, WEPP (S&P Global Platts): 7515","https://gem.wiki/McCabe_geothermal_plant"
"291","operating","United States","McGinness Hills 3 geothermal plant","1","48.0","binary cycle","2018.0","","Ormat Technology INC [100%]","39.5933","-116.9126","exact","","Nevada","Northern America","Americas","L100000700099","G100000700167","World Resources Institute: USA0061912, EIA: 61912","","https://gem.wiki/McGinness_Hills_3_geothermal_plant"
"292","operating","United States","McGinness Hills geothermal plant","1","45.0","binary cycle","2012.0","Ormat Technology INC","Ormat Technology INC [100%]","39.5963","-116.8942","exact","","Nevada","Northern America","Americas","L100000700100","G100000700168","World Resources Institute: USA0057446, EIA: 61912","","https://gem.wiki/McGinness_Hills_geothermal_plant"
"293","operating","United States","McGinness Hills geothermal plant","2","45.0","binary cycle","2012.0","Ormat Technology INC","Ormat Technology INC [100%]","39.5963","-116.8942","exact","","Nevada","Northern America","Americas","L100000700100","G100000700169","World Resources Institute: USA0057446, EIA: 61912","","https://gem.wiki/McGinness_Hills_geothermal_plant"
"294","pre-construction","Canada","Meager Creek geothermal power plant","Future units","200.0","unknown type","2025.0","Meager Creek Development CORP","Meager Creek Development CORP [100%]","50.5754","-123.4646","approximate","Pemberton","British Columbia","Northern America","Americas","L100000700101","G100000700170","WEPP (S&P Global Platts): 15471","WEPP (S&P Global Platts): 13281","https://gem.wiki/Meager_Creek_geothermal_power_plant"
"295","operating","Türkiye","Melih geothermal plant","--","33.0","binary cycle","2018.0","","Ormat Technology INC [100%]","37.911","27.6404","exact","","","Western Asia","Asia","L100000700102","G100000700171","","","https://gem.wiki/Melih_geothermal_plant"
"296","operating","Kenya","Menengai 1 geothermal power plant","1","35.0","unknown type","2023.0","Orpower Twenty Two LTD","Geothermal Development Company (GDC) [100%]","-0.2137","36.0591","exact","","Nakuru","Sub-Saharan Africa","Africa","L100000700103","G100000700174","WEPP (S&P Global Platts): 1105589, WEPP (S&P Global Platts): 1077772, WEPP (S&P Global Platts): 1131556","WEPP (S&P Global Platts): 1265253","https://gem.wiki/Menengai_1_geothermal_power_plant"
"297","construction","Kenya","Menengai 1 geothermal power plant","2","35.0","unknown type","","Quantum East Africa Power LTD","Geothermal Development Company (GDC) [100%]","-0.2137","36.0591","exact","","Nakuru","Sub-Saharan Africa","Africa","L100000700103","G100000700173","WEPP (S&P Global Platts): 1105589, WEPP (S&P Global Platts): 1077772, WEPP (S&P Global Platts): 1131556","WEPP (S&P Global Platts): 1265252","https://gem.wiki/Menengai_1_geothermal_power_plant"
"298","construction","Kenya","Menengai 1 geothermal power plant","3","35.0","unknown type","","Sosian Energy","Geothermal Development Company (GDC) [100%]","-0.2137","36.0591","exact","","Nakuru","Sub-Saharan Africa","Africa","L100000700103","G100000700172","WEPP (S&P Global Platts): 1105589, WEPP (S&P Global Platts): 1077772, WEPP (S&P Global Platts): 1131556","WEPP (S&P Global Platts): 1218887","https://gem.wiki/Menengai_1_geothermal_power_plant"
"299","pre-construction","Kenya","Menengai 2 geothermal power plant","--","60.0","flash steam - unknown","2025.0","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","-0.196","36.063","exact","","Nakuru","Sub-Saharan Africa","Africa","L100000700104","G100000700175","","","https://gem.wiki/Menengai_2_geothermal_power_plant"
"300","announced","Kenya","Menengai 3 geothermal power plant","Future units","300.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","-0.196","36.063","approximate","","Nakuru","Sub-Saharan Africa","Africa","L100000700105","G100000700176","","","https://gem.wiki/Menengai_3_geothermal_power_plant"
"301","operating","Philippines","Mindanao geothermal power plant","1","52.0","flash steam - single","1997.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","7.0127","125.2198","exact","","North Cotabato","South-eastern Asia","Asia","L100000700106","G100000700177","World Resources Institute: WRI1001956","","https://gem.wiki/Mindanao_geothermal_power_plant"
"302","operating","Philippines","Mindanao geothermal power plant","2","54.0","flash steam - single","1999.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","7.0127","125.2198","exact","","North Cotabato","South-eastern Asia","Asia","L100000700106","G100000700178","World Resources Institute: WRI1001956","","https://gem.wiki/Mindanao_geothermal_power_plant"
"303","cancelled","Philippines","Mindanao geothermal power plant","3","50.0","flash steam - single","","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","7.0127","125.2198","exact","","North Cotabato","South-eastern Asia","Asia","L100000700106","G100000700179","World Resources Institute: WRI1001956","","https://gem.wiki/Mindanao_geothermal_power_plant"
"304","operating","Philippines","Mindanao geothermal power plant","Expansion","4.0","binary cycle","2022.0","","","7.0127","125.2198","exact","","North Cotabato","South-eastern Asia","Asia","L100000700106","G100000700415","World Resources Institute: WRI1001956","","https://gem.wiki/Mindanao_geothermal_power_plant"
"305","operating","Costa Rica","Miravalles geothermal power plant","1","55.0","flash steam - single","1994.0","Costa Rican Electricity Institute (ICE)","Costa Rican Electricity Institute (ICE) [100%]","10.7002","-85.1944","exact","","","Latin America and the Caribbean","Americas","L100000700107","G100000700180","WEPP (S&P Global Platts): 1019554, World Resources Institute: GEODB0004310","WEPP (S&P Global Platts): 1133055","https://gem.wiki/Miravalles_geothermal_power_plant"
"306","operating","Costa Rica","Miravalles geothermal power plant","2","55.0","flash steam - single","1998.0","Costa Rican Electricity Institute (ICE)","Costa Rican Electricity Institute (ICE) [100%]","10.7002","-85.1944","exact","","","Latin America and the Caribbean","Americas","L100000700107","G100000700181","WEPP (S&P Global Platts): 1019554, World Resources Institute: GEODB0004310","WEPP (S&P Global Platts): 1133056","https://gem.wiki/Miravalles_geothermal_power_plant"
"307","operating","Costa Rica","Miravalles geothermal power plant","3","29.0","flash steam - single","2000.0","","","10.7181","-85.1814","exact","","","Latin America and the Caribbean","Americas","L100000700107","G100000700329","WEPP (S&P Global Platts): 1019554, World Resources Institute: GEODB0004310","","https://gem.wiki/Miravalles_geothermal_power_plant"
"308","operating","Costa Rica","Miravalles geothermal power plant","5","19.0","binary cycle","2004.0","","","10.7181","-85.1814","approximate","Bagaces","Guanacaste Province","Latin America and the Caribbean","Americas","L100000700107","G100000700330","WEPP (S&P Global Platts): 1019554, World Resources Institute: GEODB0004310","","https://gem.wiki/Miravalles_geothermal_power_plant"
"309","operating","Türkiye","Mis 3 geothermal plant","--","48.0","binary cycle","2019.0","Soyak","","38.3872","28.4099","exact","","","Western Asia","Asia","L100000700108","G100000700182","","","https://gem.wiki/Mis_3_geothermal_plant"
"310","operating","New Zealand","Mōkai geothermal power plant","--","110.0","binary cycle","2000.0","Mercury NZ LTD","Tuaropaki Power Company [75%]; Mercury NZ LTD [25%]","-38.5312","175.9268","exact","","Waikato","Australia and New Zealand","Oceania","L100000700109","G100000700183","World Resources Institute: WRI1000320, WEPP (S&P Global Platts): 1025692","WEPP (S&P Global Platts): 1133564","https://gem.wiki/Mōkai_geothermal_power_plant"
"311","operating","Nicaragua","Momotombo geothermal power plant","1","35.0","flash steam - single","1983.0","DisNorte-DisSur","DisNorte-DisSur [100%]","12.394","-86.5418","exact","","Leon","Latin America and the Caribbean","Americas","L100000700110","G100000700185","WEPP (S&P Global Platts): 1019625, World Resources Institute: GEODB0043595","","https://gem.wiki/Momotombo_geothermal_power_plant"
"312","operating","Nicaragua","Momotombo geothermal power plant","2","35.0","flash steam - single","1989.0","DisNorte-DisSur","DisNorte-DisSur [100%]","12.394","-86.5418","exact","","Leon","Latin America and the Caribbean","Americas","L100000700110","G100000700184","WEPP (S&P Global Platts): 1019625, World Resources Institute: GEODB0043595","WEPP (S&P Global Platts): 1102672","https://gem.wiki/Momotombo_geothermal_power_plant"
"313","pre-construction","Montserrat","Montserrat geothermal power plant","--","2.0","unknown type","","","","16.7482","-62.2101","approximate","Saint Peter Parish","","Latin America and the Caribbean","Americas","L100000700224","G100000700405","","","https://gem.wiki/Montserrat_geothermal_power_plant"
"314","operating","Japan","Mori geothermal power plant","--","25.0","flash steam - double","1982.0","Hokkaido Electric Power CO INC","Hokkaido Electric Power CO INC [100%]","42.1331","140.4553","exact","","","Eastern Asia","Asia","L100000700217","G100000700380","World Resources Institute: Wri1020120, WEPP (S&P Global Platts): 1018576","WEPP (S&P Global Platts): 1133857","https://gem.wiki/Mori_geothermal_power_plant"
"315","pre-construction","United States","Morton Bay geothermal power plant","--","140.0","unknown type","","","Morton Bay Geothermal LLC","33.20239584741529","-115.583903643918","exact","","","Northern America","Americas","L100001004606","G100001005405","","","https://www.gem.wiki/Morton_Bay_geothermal_power_plant"
"316","pre-construction","Philippines","Mount Labo geothermal power plant","--","105.0","unknown type","2027.0","","Philippine Geothermal Production Company Inc","14.0137","122.7871","approximate","Labo","Camarines Sur","South-eastern Asia","Asia","L100000700111","G100000700186","WEPP (S&P Global Platts): 1025509, WEPP (S&P Global Platts): 1023497","WEPP (S&P Global Platts): 1134075, WEPP (S&P Global Platts): 1111805","https://gem.wiki/Mount_Labo_geothermal_power_plant"
"317","pre-construction","Philippines","Mount Natib geothermal power plant","--","40.0","unknown type","","","Clean Rock Renewable Energy Resources CORP [100%]","14.7625","120.4902","approximate","","Bataan","South-eastern Asia","Asia","L100000700229","G100000700416","","","https://gem.wiki/Mount_Natib_geothermal_power_plant"
"318","pre-construction","Philippines","Mount Parker geothermal power plant","--","60.0","unknown type","","","Eoll and Gas CO INC [100%]","6.2512","124.5886","approximate","","South Cotabato","South-eastern Asia","Asia","L100000700230","G100000700417","WEPP (S&P Global Platts): 1025510","WEPP (S&P Global Platts): 1134102","https://gem.wiki/Mount_Parker_geothermal_power_plant"
"319","cancelled","Indonesia","Mount Sibayak geothermal power plant","--","40.0","unknown type","","PT Okha Hutomo Satrya","PT Okha Hutomo Satrya [100%]","3.1853","98.5048","approximate","Karo Regency","North Sumatra","South-eastern Asia","Asia","L100000700112","G100000700187","WEPP (S&P Global Platts): 1026011","WEPP (S&P Global Platts): 1134106","https://gem.wiki/Mount_Sibayak_geothermal_power_plant"
"320","announced","Philippines","Mt. Malinao geothermal power plant","--","50.0","unknown type","","","Philippine Geothermal Production Company Inc","13.338502118568424","123.40092317913616","approximate","","","South-eastern Asia","Asia","L100001004544","G100001005330","","","https://www.gem.wiki/Mt._Malinao_geothermal_power_plant"
"321","operating","Indonesia","Muarah Laboh geothermal plant","1","85.0","flash steam - double","2019.0","PT Supreme Energy","Sumitomo CORP [18%]; ENGIE [18%]; PT Supreme Energy [30%]; INPEX Corp [33%]","-1.6268","101.1296","exact","","West Sumatra","South-eastern Asia","Asia","L100000700113","G100000700188","WEPP (S&P Global Platts): 1087180","WEPP (S&P Global Platts): 1236962","https://gem.wiki/Muarah_Laboh_geothermal_plant"
"322","construction","Indonesia","Muarah Laboh geothermal plant","2","75.0","unknown type","","PT Supreme Energy","Sumitomo CORP [18%]; ENGIE [18%]; PT Supreme Energy [30%]; INPEX Corp [33%]","-1.6268","101.1296","exact","","West Sumatra","South-eastern Asia","Asia","L100000700113","G100000700189","WEPP (S&P Global Platts): 1087180","WEPP (S&P Global Platts): 1302773","https://gem.wiki/Muarah_Laboh_geothermal_plant"
"323","operating","Russia","Mutnovskaya GeoPP geothermal power plant","--","50.0","flash steam - single","2001.0","RusHydro","RusHydro [100%]","52.5353","158.2011","exact","","Kamchatka Krai","Eastern Europe","Europe","L100000700114","G100000700190","World Resources Institute: WRI1061706","","https://gem.wiki/Mutnovskaya_GeoPP_geothermal_power_plant"
"324","operating","Philippines","Nasulo geothermal power plant","--","40.0","unknown type","2014.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","9.2805","123.1531","exact","","Negros Oriental","South-eastern Asia","Asia","L100000700115","G100000700191","WEPP (S&P Global Platts): 1104675","WEPP (S&P Global Platts): 1263779","https://gem.wiki/Nasulo_geothermal_power_plant"
"325","operating","United States","Navy 1 geothermal plant","GEN7-9","90.0","flash steam - double","1988.0","Coso Operating Co LLC","Atlantica Sustainable Infrastructure [100%]","36.0019","-117.7886","exact","","California","Northern America","Americas","L100000700116","G100000700192","EIA: 10875, World Resources Institute: USA0010875, WEPP (S&P Global Platts): 15306","WEPP (S&P Global Platts): 14541, WEPP (S&P Global Platts): 14539, WEPP (S&P Global Platts): 14540","https://gem.wiki/Navy_1_geothermal_plant"
"326","operating","United States","Navy 2 geothermal plant","GEN4-6","90.0","flash steam - double","1989.0","Coso Operating Co LLC","Atlantica Sustainable Infrastructure [100%]","36.0192","-117.7917","exact","","California","Northern America","Americas","L100000700117","G100000700193","WEPP (S&P Global Platts): 15307, World Resources Institute: USA0010875, EIA: 10874","WEPP (S&P Global Platts): 14544","https://gem.wiki/Navy_2_geothermal_plant"
"327","operating","United States","NCPA geothermal plant","1","55.0","dry steam","1983.0","Northern California Power Agency","","38.752","-122.7195","exact","","California","Northern America","Americas","L100000700118","G100000700194","World Resources Institute: USA0007368, EIA: 7369, World Resources Institute: USA0007369, WEPP (S&P Global Platts): 27943, EIA: 7368, WEPP (S&P Global Platts): 27941","WEPP (S&P Global Platts): 14549, WEPP (S&P Global Platts): 14550","https://gem.wiki/NCPA_geothermal_plant"
"328","operating","United States","NCPA geothermal plant","2","55.0","dry steam","1983.0","Northern California Power Agency","","38.7492","-122.7117","exact","","California","Northern America","Americas","L100000700118","G100000700195","World Resources Institute: USA0007368, EIA: 7369, World Resources Institute: USA0007369, WEPP (S&P Global Platts): 27943, EIA: 7368, WEPP (S&P Global Platts): 27941","WEPP (S&P Global Platts): 14549, WEPP (S&P Global Platts): 14550","https://gem.wiki/NCPA_geothermal_plant"
"329","mothballed","United States","NCPA geothermal plant","3","55.0","dry steam","1985.0","Northern California Power Agency","","38.752","-122.7195","exact","","California","Northern America","Americas","L100000700118","G100000700515","World Resources Institute: USA0007368, EIA: 7369, World Resources Institute: USA0007369, WEPP (S&P Global Platts): 27943, EIA: 7368, WEPP (S&P Global Platts): 27941","WEPP (S&P Global Platts): 14551, WEPP (S&P Global Platts): 14552","https://gem.wiki/NCPA_geothermal_plant"
"330","operating","United States","NCPA geothermal plant","4","55.0","dry steam","1986.0","Northern California Power Agency","","38.7492","-122.7117","exact","","California","Northern America","Americas","L100000700118","G100000700516","World Resources Institute: USA0007368, EIA: 7369, World Resources Institute: USA0007369, WEPP (S&P Global Platts): 27943, EIA: 7368, WEPP (S&P Global Platts): 27941","WEPP (S&P Global Platts): 14551, WEPP (S&P Global Platts): 14552","https://gem.wiki/NCPA_geothermal_plant"
"331","operating","United States","Neal Hot Springs geothermal power plant","1","11.0","binary cycle","2012.0","","US Geothermal INC [100%]","44.0231","-117.4681","exact","","Oregon","Northern America","Americas","L100000700280","G100000700517","EIA: 58022","","https://gem.wiki/Neal_Hot_Springs_geothermal_power_plant"
"332","operating","United States","Neal Hot Springs geothermal power plant","2","11.0","binary cycle","2012.0","","US Geothermal INC [100%]","44.0231","-117.4681","exact","","Oregon","Northern America","Americas","L100000700280","G100000700518","EIA: 58022","","https://gem.wiki/Neal_Hot_Springs_geothermal_power_plant"
"333","operating","United States","Neal Hot Springs geothermal power plant","3","11.0","binary cycle","2012.0","","US Geothermal INC [100%]","44.0231","-117.4681","exact","","Oregon","Northern America","Americas","L100000700280","G100000700519","EIA: 58022","","https://gem.wiki/Neal_Hot_Springs_geothermal_power_plant"
"334","shelved","Türkiye","Nemrut geothermal power plant","--","25.0","unknown type","","","Zorlu Enerji [100%]","37.7651","38.2696","approximate","Merkez","Adıyaman","Western Asia","Asia","L100000700247","G100000700449","","","https://gem.wiki/Nemrut_geothermal_power_plant"
"335","pre-construction","Colombia","Nereidas Valley geothermal power plant","--","30.0","unknown type","","","Baker Hughers [33%]; Ecopetrol SA [33%]; Central Hidroeléctrica de Caldas (CHEC) [33%]","5.0438","-75.5246","approximate","Neridas Valley","Caldas Department","Latin America and the Caribbean","Americas","L100000700195","G100000700328","","","https://gem.wiki/Nereidas_Valley_geothermal_power_plant"
"336","operating","Iceland","Nesjavellir geothermal power station","1","30.0","flash steam - single","1998.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.1081","-21.2567","exact","Southern Region","","Northern Europe","Europe","L100000700119","G100000700196","World Resources Institute: WRI1002805, WEPP (S&P Global Platts): 1027395","WEPP (S&P Global Platts): 1135691","https://gem.wiki/Nesjavellir_geothermal_power_station"
"337","operating","Iceland","Nesjavellir geothermal power station","2","30.0","flash steam - single","1998.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.1081","-21.2567","exact","Southern Region","","Northern Europe","Europe","L100000700119","G100000700197","World Resources Institute: WRI1002805, WEPP (S&P Global Platts): 1027395","WEPP (S&P Global Platts): 1135692","https://gem.wiki/Nesjavellir_geothermal_power_station"
"338","operating","Iceland","Nesjavellir geothermal power station","3","30.0","flash steam - single","","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.1081","-21.2567","exact","Southern Region","","Northern Europe","Europe","L100000700119","G100000700198","World Resources Institute: WRI1002805, WEPP (S&P Global Platts): 1027395","WEPP (S&P Global Platts): 1178773","https://gem.wiki/Nesjavellir_geothermal_power_station"
"339","operating","Iceland","Nesjavellir geothermal power station","4","30.0","flash steam - single","2005.0","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","64.1081","-21.2567","exact","Southern Region","","Northern Europe","Europe","L100000700119","G100000700199","World Resources Institute: WRI1002805, WEPP (S&P Global Platts): 1027395","WEPP (S&P Global Platts): 1187515","https://gem.wiki/Nesjavellir_geothermal_power_station"
"340","announced","United States","Nevada EGS (Eavor) geothermal power plant","--","20.0","EGS","2028.0","NV Energy","","39.7012","-118.9434","approximate","","Nevada","Northern America","Americas","L100000700281","G100000700520","","","https://gem.wiki/Nevada_EGS_(Eavor)_geothermal_power_plant"
"341","pre-construction","Saint Kitts and Nevis","Nevis geothermal power plant","1","10.0","unknown type","","","Nevis Island Administration (NIA) [50%]; Nevis Electric Company Limited (NEVLEC) [50%]","17.1421","-62.6062","exact","","","Latin America and the Caribbean","Americas","L100000700237","G100000700425","","","https://gem.wiki/Nevis_geothermal_power_plant"
"342","announced","Saint Kitts and Nevis","Nevis geothermal power plant","Expansion","30.0","unknown type","","","Nevis Island Administration (NIA) [50%]; Nevis Electric Company Limited (NEVLEC) [50%]","17.1421","-62.6062","exact","","","Latin America and the Caribbean","Americas","L100000700237","G100000700426","","","https://gem.wiki/Nevis_geothermal_power_plant"
"343","cancelled","United States","New York Canyon geothermal plant","--","70.0","unknown type","","","TGP Dixie Development Company [100%]","40.1847","-118.4738","approximate","","Nevada","Northern America","Americas","L100000700120","G100000700200","WEPP (S&P Global Platts): 63824","WEPP (S&P Global Platts): 40641","https://gem.wiki/New_York_Canyon_geothermal_plant"
"344","operating","New Zealand","Nga Awa Purua geothermal power plant","--","140.0","flash steam - triple","2010.0","Mercury NZ LTD","Tauhara North 2 Trust [25%]; Mighty River Power [75%]","-38.6143","176.1825","exact","","Waikato","Australia and New Zealand","Oceania","L100000700121","G100000700201","World Resources Institute: WRI1000326, WEPP (S&P Global Platts): 1071711","WEPP (S&P Global Platts): 1210305","https://gem.wiki/Nga_Awa_Purua_geothermal_power_plant"
"345","operating","New Zealand","Ngatamariki geothermal power plant","1","20.5","binary cycle","2013.0","Mighty River Power","Mighty River Power [100%]","-38.5731","176.1953","exact","","Waikato","Australia and New Zealand","Oceania","L100000700122","G100000700202","","","https://gem.wiki/Ngatamariki_geothermal_power_plant"
"346","operating","New Zealand","Ngatamariki geothermal power plant","2","20.5","binary cycle","2013.0","Mighty River Power","Mighty River Power [100%]","-38.5731","176.1953","exact","","Waikato","Australia and New Zealand","Oceania","L100000700122","G100001005321","","","https://gem.wiki/Ngatamariki_geothermal_power_plant"
"347","operating","New Zealand","Ngatamariki geothermal power plant","3","20.5","binary cycle","2013.0","Mighty River Power","Mighty River Power [100%]","-38.5731","176.1953","exact","","Waikato","Australia and New Zealand","Oceania","L100000700122","G100001005322","","","https://gem.wiki/Ngatamariki_geothermal_power_plant"
"348","operating","New Zealand","Ngatamariki geothermal power plant","4","20.5","binary cycle","2013.0","Mighty River Power","Mighty River Power [100%]","-38.5731","176.1953","exact","","Waikato","Australia and New Zealand","Oceania","L100000700122","G100001005323","","","https://gem.wiki/Ngatamariki_geothermal_power_plant"
"349","construction","New Zealand","Ngatamariki geothermal power plant","5","50.0","binary cycle","2025.0","","","-38.5731","176.1953","exact","","Waikato","Australia and New Zealand","Oceania","L100000700122","G100001005324","","","https://gem.wiki/Ngatamariki_geothermal_power_plant"
"350","operating","New Zealand","Ngāwhā geothermal power station","--","32.0","unknown type","2021.0","Top Energy LTD","Top Energy LTD [100%]","-35.4176","173.8522","exact","","Northland","Australia and New Zealand","Oceania","L100000700123","G100000700203","WEPP (S&P Global Platts): 1120009","WEPP (S&P Global Platts): 1271836","https://gem.wiki/Ngāwhā_geothermal_power_station"
"351","pre-construction","Indonesia","Ngebel geothermal power plant","1","55.0","unknown type","","","Oakridge International [65%]; PT Bakrie Power [34%]","-7.7761","111.6374","exact","","East Java","South-eastern Asia","Asia","L100000700207","G100000700359","","","https://gem.wiki/Ngebel_geothermal_power_plant"
"352","pre-construction","Indonesia","Ngebel geothermal power plant","2","55.0","unknown type","","","Oakridge International [65%]; PT Bakrie Power [34%]","-7.7761","111.6374","exact","","East Java","South-eastern Asia","Asia","L100000700207","G100000700360","","","https://gem.wiki/Ngebel_geothermal_power_plant"
"353","pre-construction","Indonesia","Ngebel geothermal power plant","3","55.0","unknown type","","","Oakridge International [65%]; PT Bakrie Power [34%]","-7.7761","111.6374","exact","","East Java","South-eastern Asia","Asia","L100000700207","G100000700361","","","https://gem.wiki/Ngebel_geothermal_power_plant"
"354","pre-construction","Tanzania","Ngozi geothermal power plant","1","200.0","unknown type","2027.0","","Tanzania Geothermal Development Company (TGDC) [100%]","-9.2556","33.6434","approximate","Rungwe District","Mbeya Region","Sub-Saharan Africa","Africa","L100000700240","G100000700429","WEPP (S&P Global Platts): 1111195","WEPP (S&P Global Platts): 1274083","https://gem.wiki/Ngozi_geothermal_power_plant"
"355","announced","Tanzania","Ngozi geothermal power plant","Future units","400.0","unknown type","2027.0","","Tanzania Geothermal Development Company (TGDC) [100%]","-9.2556","33.6434","approximate","Rungwe District","Mbeya Region","Sub-Saharan Africa","Africa","L100000700240","G100000700430","WEPP (S&P Global Platts): 1111195","WEPP (S&P Global Platts): 1274083","https://gem.wiki/Ngozi_geothermal_power_plant"
"356","retired","Philippines","Northern Negros geothermal power plant","--","50.0","flash steam - single","","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","10.484","123.1017","exact","","Negros Occidental","South-eastern Asia","Asia","L100000700125","G100000700205","","","https://gem.wiki/Northern_Negros_geothermal_power_plant"
"357","announced","United States","Northern Nevada (Ormat) geothermal power plant","--","120.0","unknown type","2028.0","","Ormat Technology INC [100%]","39.7012","-118.9434","approximate","","Nevada","Northern America","Americas","L100000700282","G100000700521","","","https://gem.wiki/Northern_Nevada_(Ormat)_geothermal_power_plant"
"358","operating","United States","North Valley geothermal plant","--","25.0","binary cycle","2023.0","","Ormat Technology INC [100%]","40.3729","-119.4625","exact","","Nevada","Northern America","Americas","L100000700124","G100000700204","EIA: 63491","","https://gem.wiki/North_Valley_geothermal_plant"
"359","operating","Italy","Nuova Radicondoli geothermal power plant","--","40.0","dry steam","2002.0","Enel Green Power","Enel Green Power [100%]","43.1935","11.0446","exact","","Tuscany","Southern Europe","Europe","L100000700126","G100000700206","WEPP (S&P Global Platts): 1016129, World Resources Institute: WRI1021348","","https://gem.wiki/Nuova_Radicondoli_geothermal_power_plant"
